id,date_time,rpi_id,room_id,temp,humidity,light,sound,flame,vibration,motion,smoke,co,lpg
2020-06-10 23:51:21_m1_r1,2020-06-10 23:51:21,m1,r1,29.0,51.0,0,4,0,0,58,0.0222729492464025,0.005548593916587276,0.008302256949120635
2020-06-10 23:52:22_m1_r1,2020-06-10 23:52:22,m1,r1,29.0,51.0,0,2,0,0,40,0.022180114459391085,0.0055186834508695465,0.008269857184161705
2020-06-10 23:53:23_m1_r1,2020-06-10 23:53:23,m1,r1,29.0,51.0,0,2,0,0,0,0.0222729492464025,0.005548593916587276,0.008302256949120635
2020-06-10 23:54:23_m1_r1,2020-06-10 23:54:23,m1,r1,29.0,51.0,0,3,0,0,14,0.022231075151915934,0.0055350979417480815,0.008287643768070544
2020-06-10 23:55:26_m1_r1,2020-06-10 23:55:26,m1,r1,29.0,51.0,0,2,0,0,47,0.022180114459391085,0.0055186834508695465,0.008269857184161705
2020-06-10 23:56:26_m1_r1,2020-06-10 23:56:26,m1,r1,29.0,51.0,0,1,0,0,0,0.022124716896464308,0.005500852418789792,0.00825051905965025
2020-06-10 23:57:27_m1_r1,2020-06-10 23:57:27,m1,r1,29.0,51.0,0,2,0,0,0,0.022069678045300797,0.005483149845971158,0.00823130309294146
2020-06-10 23:58:28_m1_r1,2020-06-10 23:58:28,m1,r1,29.0,51.0,0,5,0,0,0,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-10 23:59:29_m1_r1,2020-06-10 23:59:29,m1,r1,29.0,51.0,0,2,0,0,0,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-11 00:00:30_m1_r1,2020-06-11 00:00:30,m1,r1,29.0,51.0,0,2,0,0,0,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-11 00:01:34_m1_r1,2020-06-11 00:01:34,m1,r1,29.0,51.0,0,2,0,0,15,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-11 00:02:34_m1_r1,2020-06-11 00:02:34,m1,r1,29.0,51.0,0,2,0,0,31,0.022097177060266555,0.0054919929464937785,0.008240904332124611
2020-06-11 00:03:35_m1_r1,2020-06-11 00:03:35,m1,r1,29.0,51.0,0,2,0,0,14,0.022124716896464308,0.005500852418789792,0.00825051905965025
2020-06-11 00:04:38_m1_r1,2020-06-11 00:04:38,m1,r1,29.0,51.0,0,1,0,0,0,0.0220422197813687,0.005474323083083513,0.008221715319975786
2020-06-11 00:05:38_m1_r1,2020-06-11 00:05:38,m1,r1,29.0,51.0,0,3,0,0,29,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:06:39_m1_r1,2020-06-11 00:06:39,m1,r1,29.0,51.0,0,5,0,0,22,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:07:40_m1_r1,2020-06-11 00:07:40,m1,r1,29.0,52.0,0,2,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
2020-06-11 00:08:41_m1_r1,2020-06-11 00:08:41,m1,r1,29.0,51.0,0,3,0,0,49,0.021896779783972208,0.005427623775239735,0.008170918392619218
2020-06-11 00:09:41_m1_r1,2020-06-11 00:09:41,m1,r1,29.0,52.0,0,1,0,0,0,0.021883245184246378,0.005423282581409242,0.008166190153559738
2020-06-11 00:10:42_m1_r1,2020-06-11 00:10:42,m1,r1,29.0,52.0,0,1,0,0,0,0.021883245184246378,0.005423282581409242,0.008166190153559738
2020-06-11 00:11:43_m1_r1,2020-06-11 00:11:43,m1,r1,29.0,52.0,0,3,0,0,0,0.021878735865494107,0.005421836402440894,0.008164614806043424
2020-06-11 00:12:44_m1_r1,2020-06-11 00:12:44,m1,r1,29.0,52.0,0,3,0,0,0,0.02188775561003324,0.005424729203096513,0.008167765867094846
2020-06-11 00:13:45_m1_r1,2020-06-11 00:13:45,m1,r1,29.0,52.0,0,3,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 00:14:45_m1_r1,2020-06-11 00:14:45,m1,r1,29.0,52.0,0,2,0,0,0,0.021892267143170035,0.005426176267655677,0.008169341946748178
2020-06-11 00:15:46_m1_r1,2020-06-11 00:15:46,m1,r1,29.0,52.0,0,1,0,0,0,0.02191035612847191,0.005431979151558849,0.008175661027582163
2020-06-11 00:16:47_m1_r1,2020-06-11 00:16:47,m1,r1,29.0,52.0,0,2,0,0,0,0.021914873210895084,0.00543342843589554,0.008177238941899041
2020-06-11 00:17:49_m1_r1,2020-06-11 00:17:49,m1,r1,29.0,52.0,0,1,0,0,0,0.02193298444824808,0.005439240222223045,0.008183565379297333
2020-06-11 00:18:50_m1_r1,2020-06-11 00:18:50,m1,r1,29.0,52.0,0,1,0,0,0,0.021951113516379035,0.005445059144096589,0.008189897711230252
2020-06-11 00:19:51_m1_r1,2020-06-11 00:19:51,m1,r1,29.0,52.0,0,4,0,0,0,0.0219874252264981,0.005456718434055325,0.008202580084404502
